food_name,diet_type,culture,meal_type,calories,protein,carbs,fat,medical_suitability,cost_per_100g,carbon_score,recommended_for,avoid_for,category,recipe
Chana Masala,Vegetarian,Indian,Lunch,419,16,63,7,"thyroid,diabetes",46,1.8,"Balanced Iodine, Low GI, High Fiber","High Sugar, Refined Carbs, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Nuggets Mild,Non-Vegetarian,Western,Snack,314,18,24,15,pcos,91,3.3,Anti-inflammatory,"High Sugar, Processed Foods",Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fruit Salad Deluxe,Vegan,Mediterranean,Dinner,139,1,44,0,thyroid,33,1,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Spring Roll,Non-Vegetarian,Western,Dinner,241,12,28,11,heart,93,4.2,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Malai Kofta Mild,Vegetarian,Mediterranean,Breakfast,526,12,33,34,hypertension,40,2.6,Low Sodium,"High Sodium, Processed",Breakfast,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fruit Smoothie Bowl with Gravy,Vegan,Mediterranean,Snack,296,8,46,6,general,35,1.1,General Health,Excessive Processing,Snack,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Spring Roll Deluxe,Non-Vegetarian,Asian,Lunch,213,14,31,9,"pcos,hypertension",71,3.4,"Anti-inflammatory, Low Sodium","High Sugar, Processed Foods, High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Spring Roll Deluxe,Non-Vegetarian,Mediterranean,Dinner,218,16,27,10,obesity,79,4.8,Weight Management,"High Calorie, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Butter Chicken with Gravy,Non-Vegetarian,Mediterranean,Dinner,483,28,17,35,thyroid,68,4.9,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Curry Deluxe,Non-Vegetarian,Indian,Lunch,399,32,16,18,hypertension,89,3.8,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chilla (Besan Pancake) Spicy,Vegetarian,Western,Breakfast,248,12,36,12,"pcos,obesity",32,1.8,"Anti-inflammatory, Weight Management","High Calorie, Processed, High Sugar, Processed Foods",Breakfast,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Pasta Deluxe,Vegan,Indian,Dinner,364,13,68,10,thyroid,34,1.1,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vada Pav Mild,Vegetarian,Western,Dinner,283,8,44,11,diabetes,37,1.5,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Baingan Bharta Mild,Vegetarian,Asian,Snack,283,8,23,19,"hypertension,pcos",36,1.5,"Low Sodium, Anti-inflammatory","High Sugar, Processed Foods, High Sodium, Processed",Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Samosa Special,Vegetarian,Indian,Lunch,228,3,31,11,pcos,36,2.5,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Trail Mix Dry,Vegan,Western,Breakfast,226,6,27,17,heart,33,1.2,Heart Healthy,"High Saturated Fat, Sodium",Breakfast,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Burrito,Vegan,Indian,Dinner,458,21,52,12,diabetes,47,1.6,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Thali,Vegan,Indian,Lunch,391,16,63,12,obesity,53,2.4,Weight Management,"High Calorie, Processed",Main Meal,"Prepare Vegan Thali 183 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Curry Special,Vegan,Western,Lunch,424,25,25,17,diabetes,35,2,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Palak Paneer Spicy,Vegetarian,Western,Lunch,361,18,19,22,thyroid,66,2.8,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Spring Roll Mild,Vegetarian,Asian,Lunch,203,6,30,5,"heart,hypertension",45,2.2,"Low Sodium, Heart Healthy","High Saturated Fat, Sodium, High Sodium, Processed",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Spring Roll,Vegetarian,Indian,Lunch,196,6,28,6,"thyroid,obesity",37,2.3,"Balanced Iodine, Weight Management","High Calorie, Processed, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Scramble,Vegan,Western,Breakfast,288,15,20,17,heart,45,1.7,Heart Healthy,"High Saturated Fat, Sodium",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Kadai Vegetable,Vegetarian,Indian,Dinner,292,11,39,20,"heart,ibs",39,1.7,"Low FODMAP, Heart Healthy","High Saturated Fat, Sodium, High FODMAP",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Sandwich with Gravy,Non-Vegetarian,Western,Breakfast,350,24,41,11,general,65,3.1,General Health,Excessive Processing,Breakfast,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Korma Special,Non-Vegetarian,Western,Lunch,395,28,19,32,pcos,66,4.7,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Trail Mix Deluxe,Vegan,Indian,Lunch,331,8,25,15,"pcos,heart",39,1.6,"Anti-inflammatory, Heart Healthy","High Sugar, Processed Foods, High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Baingan Bharta Mild,Vegetarian,Indian,Breakfast,258,8,27,21,thyroid,35,2.5,Balanced Iodine,Goitrogenic Foods,Breakfast,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fruit Salad with Gravy,Vegan,Asian,Snack,161,1,30,1,"diabetes,hypertension",45,1.5,"Low Sodium, Low GI, High Fiber","High Sugar, Refined Carbs, High Sodium, Processed",Snack,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vada Pav,Vegetarian,Mediterranean,Lunch,295,8,45,9,ibs,44,1.8,Low FODMAP,High FODMAP,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Pancakes Mild,Vegan,Asian,Breakfast,292,9,54,6,heart,38,1.5,Heart Healthy,"High Saturated Fat, Sodium",Breakfast,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Biryani,Non-Vegetarian,Western,Lunch,539,22,52,11,thyroid,99,5,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Grilled Chicken Special,Non-Vegetarian,Asian,Snack,383,35,7,16,hypertension,78,4.7,Low Sodium,"High Sodium, Processed",Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Thali,Vegan,Indian,Dinner,427,14,67,11,diabetes,54,1.7,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare Vegan Thali 345 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Aloo Tikki Spicy,Vegetarian,Asian,Lunch,235,4,28,7,"heart,thyroid",42,1.9,"Balanced Iodine, Heart Healthy","High Saturated Fat, Sodium, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Sandwich Mild,Non-Vegetarian,Mediterranean,Lunch,364,27,43,13,ibs,74,4.2,Low FODMAP,High FODMAP,Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Biryani Mild,Non-Vegetarian,Asian,Lunch,476,23,75,13,obesity,94,3.4,Weight Management,"High Calorie, Processed",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chickpea Curry Mild,Vegan,Asian,Dinner,344,15,57,8,"thyroid,obesity",41,1.3,"Balanced Iodine, Weight Management","High Calorie, Processed, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Rajma Mild,Vegetarian,Mediterranean,Lunch,352,21,45,8,pcos,33,2.6,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Nuggets Special,Non-Vegetarian,Asian,Snack,291,22,25,18,hypertension,65,4.9,Low Sodium,"High Sodium, Processed",Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Malai Kofta Special,Vegetarian,Mediterranean,Lunch,564,13,35,35,pcos,35,3,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Roasted Chickpeas with Gravy,Vegan,Indian,Breakfast,183,11,28,3,ibs,37,1.5,Low FODMAP,High FODMAP,Breakfast,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Samosa Mild,Vegetarian,Asian,Snack,262,4,26,10,"general,ibs",41,2.5,"Low FODMAP, General Health","Excessive Processing, High FODMAP",Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tandoori Chicken Special,Non-Vegetarian,Mediterranean,Dinner,316,43,6,22,"heart,hypertension",72,3.9,"Low Sodium, Heart Healthy","High Saturated Fat, Sodium, High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fruit Salad,Vegan,Western,Breakfast,166,1,34,1,"obesity,ibs",36,1.5,"Low FODMAP, Weight Management","High Calorie, Processed, High FODMAP",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Pav Bhaji,Vegetarian,Western,Breakfast,335,13,62,13,"hypertension,pcos",34,2.1,"Low Sodium, Anti-inflammatory","High Sugar, Processed Foods, High Sodium, Processed",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fruit Smoothie Bowl,Vegan,Asian,Dinner,250,6,43,4,"hypertension,ibs",44,1.2,"Low Sodium, Low FODMAP","High Sodium, Processed, High FODMAP",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Mutton Rogan Josh Special,Non-Vegetarian,Western,Lunch,538,30,13,29,ibs,66,5,Low FODMAP,High FODMAP,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Fingers,Non-Vegetarian,Mediterranean,Lunch,351,20,29,15,hypertension,72,3.2,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Buddha Bowl Deluxe,Vegan,Mediterranean,Lunch,403,16,60,12,ibs,36,1.9,Low FODMAP,High FODMAP,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chia Pudding Dry,Vegan,Mediterranean,Dinner,303,8,28,11,"ibs,obesity",33,1.7,"Low FODMAP, Weight Management","High Calorie, Processed, High FODMAP",Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Aloo Tikki Deluxe,Vegetarian,Indian,Dinner,239,4,41,7,ibs,39,1.6,Low FODMAP,High FODMAP,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Trail Mix Deluxe,Vegan,Mediterranean,Dinner,249,6,24,16,obesity,46,1.8,Weight Management,"High Calorie, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Palak Paneer Mild,Vegetarian,Asian,Dinner,345,16,26,26,ibs,52,2.1,Low FODMAP,High FODMAP,Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Scramble Spicy,Vegan,Indian,Snack,264,16,19,14,"ibs,obesity",32,1.3,"Low FODMAP, Weight Management","High Calorie, Processed, High FODMAP",Snack,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Mushroom Masala,Vegetarian,Asian,Lunch,312,12,21,17,"obesity,general",37,2.9,"General Health, Weight Management","High Calorie, Processed, Excessive Processing",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Stir Fry Spicy,Vegan,Mediterranean,Lunch,346,20,33,13,"diabetes,hypertension",44,1.5,"Low Sodium, Low GI, High Fiber","High Sugar, Refined Carbs, High Sodium, Processed",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Curry Special,Non-Vegetarian,Mediterranean,Lunch,338,18,14,23,"general,hypertension",42,4.4,"Low Sodium, General Health","Excessive Processing, High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Buddha Bowl Spicy,Vegan,Mediterranean,Lunch,451,15,43,10,thyroid,36,1,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Grilled Chicken Deluxe,Non-Vegetarian,Western,Dinner,288,41,9,18,"diabetes,general",94,4.2,"Low GI, High Fiber, General Health","Excessive Processing, High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Palak Paneer Mild,Vegetarian,Mediterranean,Dinner,344,16,19,20,"diabetes,thyroid",58,1.9,"Balanced Iodine, Low GI, High Fiber","High Sugar, Refined Carbs, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Mushroom Stroganoff Spicy,Vegan,Indian,Dinner,288,10,37,15,general,35,1.6,General Health,Excessive Processing,Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Cookies Spicy,Vegan,Western,Lunch,176,4,36,6,"general,hypertension",41,1.6,"Low Sodium, General Health","Excessive Processing, High Sodium, Processed",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Aloo Tikki,Vegetarian,Mediterranean,Lunch,217,3,36,9,pcos,41,2.3,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Prawn Curry Special,Non-Vegetarian,Mediterranean,Breakfast,355,25,21,16,"general,hypertension",60,3,"Low Sodium, General Health","Excessive Processing, High Sodium, Processed",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Sandwich Deluxe,Non-Vegetarian,Mediterranean,Snack,400,26,39,12,ibs,72,3.6,Low FODMAP,High FODMAP,Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetable Biryani with Gravy,Vegetarian,Western,Dinner,400,15,74,11,pcos,47,2.5,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Thai Curry Dry,Vegan,Indian,Lunch,336,16,49,17,"diabetes,obesity",36,1.1,"Low GI, High Fiber, Weight Management","High Calorie, Processed, High Sugar, Refined Carbs",Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Fingers Dry,Non-Vegetarian,Indian,Lunch,317,21,29,13,"diabetes,pcos",78,3.7,"Anti-inflammatory, Low GI, High Fiber","High Sugar, Processed Foods, High Sugar, Refined Carbs",Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Energy Bar Spicy,Vegan,Asian,Lunch,245,6,32,7,"obesity,hypertension",44,1.3,"Low Sodium, Weight Management","High Calorie, Processed, High Sodium, Processed",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Fillet Mild,Non-Vegetarian,Mediterranean,Breakfast,342,28,15,14,ibs,88,3.4,Low FODMAP,High FODMAP,Breakfast,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chickpea Curry,Vegan,Mediterranean,Lunch,302,13,56,7,"hypertension,obesity",39,1.8,"Low Sodium, Weight Management","High Calorie, Processed, High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetable Cutlet,Vegetarian,Western,Dinner,210,4,25,7,thyroid,42,2.1,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Spring Roll Spicy,Vegetarian,Mediterranean,Breakfast,225,5,27,5,"general,hypertension",42,2.2,"Low Sodium, General Health","Excessive Processing, High Sodium, Processed",Breakfast,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Grilled Chicken Mild,Non-Vegetarian,Indian,Breakfast,346,37,8,20,thyroid,89,3.4,Balanced Iodine,Goitrogenic Foods,Breakfast,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Burrito Spicy,Vegan,Indian,Breakfast,372,20,57,12,ibs,34,1.5,Low FODMAP,High FODMAP,Breakfast,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Curry Special,Non-Vegetarian,Indian,Dinner,329,23,21,16,general,97,4.4,General Health,Excessive Processing,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Baingan Bharta,Vegetarian,Asian,Dinner,263,7,27,17,heart,39,2.9,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Curry Mild,Vegan,Western,Dinner,395,20,31,19,pcos,41,1.5,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Bacon and Eggs Spicy,Non-Vegetarian,Indian,Dinner,367,22,12,29,pcos,42,3.3,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Sausages,Non-Vegetarian,Asian,Lunch,293,17,8,26,ibs,83,4,Low FODMAP,High FODMAP,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Omelette Dry,Non-Vegetarian,Asian,Breakfast,306,19,7,21,"hypertension,ibs",44,4,"Low Sodium, Low FODMAP","High Sodium, Processed, High FODMAP",Breakfast,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Tikka Masala,Non-Vegetarian,Mediterranean,Lunch,423,40,23,26,general,79,3.7,General Health,Excessive Processing,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Sandwich with Gravy,Non-Vegetarian,Indian,Dinner,421,22,31,16,diabetes,73,4.5,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Sandwich Spicy,Non-Vegetarian,Mediterranean,Breakfast,381,22,32,16,"general,ibs",85,4.7,"Low FODMAP, General Health","Excessive Processing, High FODMAP",Breakfast,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Stir Fry,Vegan,Mediterranean,Dinner,332,19,30,12,heart,42,1.9,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Tikka Masala,Non-Vegetarian,Indian,Snack,473,35,18,22,"general,heart",70,4.6,"Heart Healthy, General Health","Excessive Processing, High Saturated Fat, Sodium",Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetarian Thali,Vegetarian,Indian,Dinner,458,16,67,15,diabetes,64,2.3,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare Vegetarian Thali 242 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Quinoa Bowl Mild,Vegan,Indian,Snack,309,13,60,8,obesity,40,1.6,Weight Management,"High Calorie, Processed",Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tandoori Chicken with Gravy,Non-Vegetarian,Western,Lunch,371,39,9,17,"pcos,heart",91,4.2,"Anti-inflammatory, Heart Healthy","High Sugar, Processed Foods, High Saturated Fat, Sodium",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Curry Spicy,Non-Vegetarian,Asian,Lunch,410,28,20,23,"ibs,hypertension",71,4.7,"Low Sodium, Low FODMAP","High Sodium, Processed, High FODMAP",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Energy Bar Special,Vegan,Mediterranean,Breakfast,196,8,30,4,pcos,32,1.6,Anti-inflammatory,"High Sugar, Processed Foods",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Biryani Mild,Non-Vegetarian,Indian,Lunch,425,32,64,13,"diabetes,thyroid",72,5,"Balanced Iodine, Low GI, High Fiber","High Sugar, Refined Carbs, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Burrito Dry,Vegan,Western,Lunch,351,16,53,11,"hypertension,pcos",46,1.8,"Low Sodium, Anti-inflammatory","High Sugar, Processed Foods, High Sodium, Processed",Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vada Pav Special,Vegetarian,Mediterranean,Dinner,302,6,44,11,ibs,35,2.3,Low FODMAP,High FODMAP,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Curry Spicy,Non-Vegetarian,Indian,Lunch,481,25,20,20,heart,93,3.1,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fruit Smoothie Bowl Dry,Vegan,Indian,Lunch,255,8,42,5,obesity,38,1.8,Weight Management,"High Calorie, Processed",Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Fillet Mild,Non-Vegetarian,Mediterranean,Dinner,301,25,16,15,heart,99,4.4,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fruit Smoothie Bowl with Gravy,Vegan,Mediterranean,Lunch,246,7,46,6,heart,44,1.4,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Spring Roll Spicy,Non-Vegetarian,Indian,Breakfast,209,15,35,11,general,85,4.5,General Health,Excessive Processing,Breakfast,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Dosa with Chutney,Vegetarian,Western,Lunch,372,10,48,8,"general,obesity",41,2.6,"General Health, Weight Management","High Calorie, Processed, Excessive Processing",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Kachori Special,Vegetarian,Indian,Snack,273,4,32,14,"ibs,general",40,1.6,"Low FODMAP, General Health","Excessive Processing, High FODMAP",Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Spring Roll Special,Non-Vegetarian,Asian,Dinner,246,11,35,9,hypertension,68,4.5,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Dhokla Mild,Vegetarian,Asian,Dinner,202,9,39,3,thyroid,46,2.4,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chole Bhature Deluxe,Vegetarian,Western,Breakfast,655,17,78,19,heart,45,1.5,Heart Healthy,"High Saturated Fat, Sodium",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Thali,Vegan,Indian,Lunch,414,16,74,11,pcos,57,3,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare Vegan Thali 54 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chana Masala,Vegetarian,Western,Dinner,392,13,45,7,hypertension,41,1.9,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Spring Roll,Non-Vegetarian,Indian,Lunch,276,15,29,10,"ibs,general",84,3.3,"Low FODMAP, General Health","Excessive Processing, High FODMAP",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
